feature,gain
cusum_1m_trend_aligned_t0,396793.2525000572
upper_shadow_ratio_t0,127073.76502788067
lower_shadow_ratio_t0,122558.91900211573
cusum_1m_price_move_t0,107450.94614064693
volume_t0,100764.37369441986
volume_t-1,43586.54875689745
volume_ratio_ema3_t0,38691.26542675495
candle_relative_body_t0,37496.835012316704
cusum_1m_quality_score_t0,19355.2948076725
upper_shadow_ratio_t-1,18807.734836101532
volume_t-2,18060.32548058033
lower_shadow_ratio_t-1,17619.383400917053
volume_ratio_ema3_t-1,16789.70305430889
upper_shadow_ratio_t-2,14903.205648779869
close_position_in_range_1m_t0,14499.849535822868
close_position_in_range_1m_t-1,12530.069941878319
cmo_14_t0,11643.744688749313
bb_position_t0,11333.42370223999
cusum_1m_price_move_t-2,11333.367214977741
lower_shadow_ratio_t-2,11259.702421665192
body_to_range_ratio_1m_t0,10647.677897691727
cusum_1m_price_move_t-1,10389.305994272232
close_position_in_range_1m_t-2,10389.131929636002
cusum_1m_price_move_t-3,10251.318352162838
volume_t-3,10048.423402309418
plus_di_14_t0,9843.931439876556
candle_relative_body_t-1,9833.616750836372
cusum_1m_quality_score_t-3,9822.836612224579
cusum_1m_quality_score_t-1,9789.945267558098
body_to_range_ratio_1m_t-2,9607.999920606613
volume_t-5,9340.007820248604
candle_relative_body_t-6,9251.644038796425
lower_shadow_ratio_t-11,9078.876018881798
body_to_range_ratio_1m_t-4,8897.341972827911
cusum_1m_price_move_t-5,8746.821197628975
cusum_1m_quality_score_t-8,8731.28622329235
body_to_range_ratio_1m_t-6,8690.153053998947
cusum_1m_price_move_t-9,8681.332411408424
cusum_1m_quality_score_t-5,8630.666303277016
body_to_range_ratio_1m_t-1,8548.236886382103
candle_relative_body_t-4,8491.803461790085
lower_shadow_ratio_t-3,8485.75314116478
body_to_range_ratio_1m_t-3,8456.11871767044
volume_t-8,8429.243333816528
close_position_in_range_1m_t-9,8412.182259261608
cusum_1m_quality_score_t-9,8406.197790563107
body_to_range_ratio_1m_t-8,8301.302046179771
lower_shadow_ratio_t-10,8215.454309821129
lower_shadow_ratio_t-4,8195.799463272095
upper_shadow_ratio_t-5,8184.689553976059
cusum_1m_quality_score_t-2,8182.5953348279
cusum_1m_quality_score_t-7,8179.455966353416
close_position_in_range_1m_t-11,8177.260690569878
body_to_range_ratio_1m_t-10,8139.849339962006
candle_relative_body_t-8,8105.417682766914
cusum_1m_price_move_t-6,8104.920550107956
candle_relative_body_t-9,8085.676238179207
cusum_1m_price_move_t-7,8067.6710522174835
volume_t-10,8056.033551454544
close_position_in_range_1m_t-3,8038.221363544464
upper_shadow_ratio_t-9,7933.598259687424
lower_shadow_ratio_t-5,7932.844109535217
volume_t-7,7897.251651406288
close_position_in_range_1m_t-6,7883.320104122162
close_position_in_range_1m_t-10,7877.770507693291
cusum_1m_quality_score_t-6,7862.791231870651
body_to_range_ratio_1m_t-7,7842.735784649849
cusum_1m_quality_score_t-10,7829.494759440422
upper_shadow_ratio_t-6,7825.914671421051
upper_shadow_ratio_t-8,7737.987792134285
candle_relative_body_t-10,7726.8392288684845
cusum_1m_quality_score_t-11,7719.915461301804
volume_t-6,7669.425913929939
body_to_range_ratio_1m_t-5,7658.5717856884
volume_t-4,7602.631702303886
upper_shadow_ratio_t-10,7560.854999303818
upper_shadow_ratio_t-3,7474.128340214491
cusum_1m_price_move_t-4,7437.483935594559
upper_shadow_ratio_t-4,7420.309773862362
cusum_1m_quality_score_t-4,7397.4247097969055
candle_relative_body_t-3,7337.742847919464
body_to_range_ratio_1m_t-11,7307.272800326347
candle_relative_body_t-7,7276.513755679131
lower_shadow_ratio_t-6,7260.056306481361
cusum_1m_price_move_t-10,7226.548089027405
lower_shadow_ratio_t-8,7198.637925028801
cusum_1m_price_move_t-11,7194.161395311356
candle_relative_body_t-5,7175.146790921688
upper_shadow_ratio_t-7,7170.022505283356
volume_t-11,7152.482942938805
body_to_range_ratio_1m_t-9,7148.506332159042
lower_shadow_ratio_t-9,7140.492262244225
cmo_14_t-1,7076.69986975193
close_position_in_range_1m_t-4,7041.993327140808
cusum_1m_price_move_t-8,7015.157776713371
close_position_in_range_1m_t-8,6980.156487107277
candle_relative_body_t-11,6928.09225165844
lower_shadow_ratio_t-7,6839.036657989025
close_position_in_range_1m_t-7,6793.499928236008
upper_shadow_ratio_t-11,6781.728838801384
volume_t-9,6632.5754643678665
close_position_in_range_1m_t-5,6432.009130954742
volume_ratio_ema3_t-2,6309.099022984505
candle_relative_body_t-2,6161.851105451584
volume_ratio_ema3_t-5,4539.043273329735
bb_position_t-2,3803.986513018608
volume_ratio_ema3_t-10,3680.2715571820736
volume_ratio_ema3_t-3,3515.163973093033
volume_ratio_ema3_t-8,3419.6962453126907
volume_ratio_ema3_t-4,3285.246147632599
volume_ratio_ema3_t-9,3123.8269987106323
volume_ratio_ema3_t-6,3013.124163508415
plus_di_14_t-1,3011.2886716127396
volume_ratio_ema3_t-7,2950.047995686531
volume_ratio_ema3_t-11,2872.4449883699417
plus_di_14_t-2,2788.6096353530884
cusum_1m_trend_aligned_t-2,2528.6368029117584
trend_acceleration_ema7_t0,2505.446854829788
cmo_14_t-2,2278.07657456398
trend_acceleration_ema7_t-2,2183.3795897960663
price_vs_vwap_t0,2136.460899233818
price_vs_vwap_t-2,2121.9108645915985
minus_di_14_t-1,2034.589653968811
price_vs_vwap_t-1,1870.9670726060867
minus_di_14_t0,1161.0815852880478
price_vs_vwap_t-11,1096.8035106658936
price_vs_vwap_t-9,946.3119847774506
adx_14_t0,892.1073982715607
price_vs_vwap_t-3,844.0972427129745
regime_volatility_t0,817.3466031551361
price_vs_vwap_t-5,817.2055168151855
price_vs_vwap_t-8,798.988499879837
price_vs_vwap_t-7,774.6021393537521
cmo_14_t-11,757.2222008705139
bb_width_t0,752.4677491188049
minus_di_14_t-3,747.305858373642
price_vs_vwap_t-10,695.5112118721008
trend_acceleration_ema7_t-1,693.9564988613129
minus_di_14_t-2,679.8708410263062
cusum_1m_trend_aligned_t-3,678.5699238777161
price_vs_vwap_t-6,650.430048584938
plus_di_14_t-5,639.476798415184
cusum_1m_trend_aligned_t-1,631.70374584198
bb_width_t-11,600.0823409557343
trend_acceleration_ema7_t-10,529.5653269290924
regime_volatility_t-1,528.8690196275711
regime_volatility_t-8,527.9462186098099
cmo_14_t-10,518.8065800666809
is_trend_pattern_1m_t0,509.1973798274994
adx_14_t-1,505.25182342529297
cmo_14_t-9,472.96421003341675
