base_feature,total_gain
cusum_1m_trend_aligned,393367.3862167597
volume,214394.79254621267
upper_shadow_ratio,205864.54124605656
lower_shadow_ratio,197651.27937424183
cusum_1m_price_move,180757.70414033532
candle_relative_body,111647.7928442508
cusum_1m_quality_score,103847.91511586308
close_position_in_range_1m,97866.17680178583
body_to_range_ratio_1m,95518.68962532282
volume_ratio_ema3,80719.86034840345
price_vs_vwap,11506.779481947422
cmo_14,10066.96690261364
plus_di_14,9743.431358218193
minus_di_14,5721.396575093269
adx_14,5238.377649188042
trend_acceleration_ema7,4536.7969361543655
regime_volatility,4247.076347708702
bb_position,3908.7414425611496
bb_width,2630.1145836114883
is_trend_pattern_1m,2012.6038708686829
atr_14_normalized,790.0356171131134
